# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190501-20190522
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Пользователи
000000,01.05.2019 - 22.05.2019,Все пользователи,60
000000,01.05.2019 - 22.05.2019,Новые пользователи,43
000000,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000001,01.05.2019 - 22.05.2019,Все пользователи,52
000001,01.05.2019 - 22.05.2019,Новые пользователи,35
000001,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000002,01.05.2019 - 22.05.2019,Все пользователи,48
000002,01.05.2019 - 22.05.2019,Новые пользователи,38
000002,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000003,01.05.2019 - 22.05.2019,Все пользователи,56
000003,01.05.2019 - 22.05.2019,Новые пользователи,39
000003,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000004,01.05.2019 - 22.05.2019,Все пользователи,66
000004,01.05.2019 - 22.05.2019,Новые пользователи,56
000004,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000005,01.05.2019 - 22.05.2019,Все пользователи,70
000005,01.05.2019 - 22.05.2019,Новые пользователи,48
000005,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000006,01.05.2019 - 22.05.2019,Все пользователи,84
000006,01.05.2019 - 22.05.2019,Новые пользователи,63
000006,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000007,01.05.2019 - 22.05.2019,Все пользователи,107
000007,01.05.2019 - 22.05.2019,Новые пользователи,80
000007,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,17
000008,01.05.2019 - 22.05.2019,Все пользователи,132
000008,01.05.2019 - 22.05.2019,Новые пользователи,78
000008,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000009,01.05.2019 - 22.05.2019,Все пользователи,126
000009,01.05.2019 - 22.05.2019,Новые пользователи,89
000009,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000010,01.05.2019 - 22.05.2019,Все пользователи,148
000010,01.05.2019 - 22.05.2019,Новые пользователи,108
000010,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000011,01.05.2019 - 22.05.2019,Все пользователи,161
000011,01.05.2019 - 22.05.2019,Новые пользователи,111
000011,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,45
000012,01.05.2019 - 22.05.2019,Все пользователи,144
000012,01.05.2019 - 22.05.2019,Новые пользователи,105
000012,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,42
000013,01.05.2019 - 22.05.2019,Все пользователи,143
000013,01.05.2019 - 22.05.2019,Новые пользователи,101
000013,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,36
000014,01.05.2019 - 22.05.2019,Все пользователи,99
000014,01.05.2019 - 22.05.2019,Новые пользователи,64
000014,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,26
000015,01.05.2019 - 22.05.2019,Все пользователи,100
000015,01.05.2019 - 22.05.2019,Новые пользователи,68
000015,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000016,01.05.2019 - 22.05.2019,Все пользователи,116
000016,01.05.2019 - 22.05.2019,Новые пользователи,75
000016,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,28
000017,01.05.2019 - 22.05.2019,Все пользователи,95
000017,01.05.2019 - 22.05.2019,Новые пользователи,63
000017,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000018,01.05.2019 - 22.05.2019,Все пользователи,88
000018,01.05.2019 - 22.05.2019,Новые пользователи,69
000018,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000019,01.05.2019 - 22.05.2019,Все пользователи,81
000019,01.05.2019 - 22.05.2019,Новые пользователи,59
000019,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,30
000020,01.05.2019 - 22.05.2019,Все пользователи,71
000020,01.05.2019 - 22.05.2019,Новые пользователи,53
000020,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,34
000021,01.05.2019 - 22.05.2019,Все пользователи,77
000021,01.05.2019 - 22.05.2019,Новые пользователи,50
000021,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000022,01.05.2019 - 22.05.2019,Все пользователи,86
000022,01.05.2019 - 22.05.2019,Новые пользователи,68
000022,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000023,01.05.2019 - 22.05.2019,Все пользователи,73
000023,01.05.2019 - 22.05.2019,Новые пользователи,58
000023,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000024,01.05.2019 - 22.05.2019,Все пользователи,112
000024,01.05.2019 - 22.05.2019,Новые пользователи,94
000024,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000025,01.05.2019 - 22.05.2019,Все пользователи,101
000025,01.05.2019 - 22.05.2019,Новые пользователи,78
000025,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000026,01.05.2019 - 22.05.2019,Все пользователи,91
000026,01.05.2019 - 22.05.2019,Новые пользователи,69
000026,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000027,01.05.2019 - 22.05.2019,Все пользователи,96
000027,01.05.2019 - 22.05.2019,Новые пользователи,75
000027,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000028,01.05.2019 - 22.05.2019,Все пользователи,145
000028,01.05.2019 - 22.05.2019,Новые пользователи,102
000028,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,32
000029,01.05.2019 - 22.05.2019,Все пользователи,118
000029,01.05.2019 - 22.05.2019,Новые пользователи,97
000029,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000030,01.05.2019 - 22.05.2019,Все пользователи,143
000030,01.05.2019 - 22.05.2019,Новые пользователи,109
000030,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,25
000031,01.05.2019 - 22.05.2019,Все пользователи,186
000031,01.05.2019 - 22.05.2019,Новые пользователи,144
000031,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000032,01.05.2019 - 22.05.2019,Все пользователи,135
000032,01.05.2019 - 22.05.2019,Новые пользователи,99
000032,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000033,01.05.2019 - 22.05.2019,Все пользователи,149
000033,01.05.2019 - 22.05.2019,Новые пользователи,106
000033,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,33
000034,01.05.2019 - 22.05.2019,Все пользователи,186
000034,01.05.2019 - 22.05.2019,Новые пользователи,129
000034,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,52
000035,01.05.2019 - 22.05.2019,Все пользователи,137
000035,01.05.2019 - 22.05.2019,Новые пользователи,104
000035,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000036,01.05.2019 - 22.05.2019,Все пользователи,143
000036,01.05.2019 - 22.05.2019,Новые пользователи,97
000036,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,40
000037,01.05.2019 - 22.05.2019,Все пользователи,152
000037,01.05.2019 - 22.05.2019,Новые пользователи,106
000037,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000038,01.05.2019 - 22.05.2019,Все пользователи,101
000038,01.05.2019 - 22.05.2019,Новые пользователи,62
000038,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000039,01.05.2019 - 22.05.2019,Все пользователи,109
000039,01.05.2019 - 22.05.2019,Новые пользователи,74
000039,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000040,01.05.2019 - 22.05.2019,Все пользователи,72
000040,01.05.2019 - 22.05.2019,Новые пользователи,47
000040,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000041,01.05.2019 - 22.05.2019,Все пользователи,104
000041,01.05.2019 - 22.05.2019,Новые пользователи,72
000041,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000042,01.05.2019 - 22.05.2019,Все пользователи,93
000042,01.05.2019 - 22.05.2019,Новые пользователи,63
000042,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,38
000043,01.05.2019 - 22.05.2019,Все пользователи,78
000043,01.05.2019 - 22.05.2019,Новые пользователи,54
000043,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000044,01.05.2019 - 22.05.2019,Все пользователи,86
000044,01.05.2019 - 22.05.2019,Новые пользователи,59
000044,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000045,01.05.2019 - 22.05.2019,Все пользователи,98
000045,01.05.2019 - 22.05.2019,Новые пользователи,58
000045,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000046,01.05.2019 - 22.05.2019,Все пользователи,79
000046,01.05.2019 - 22.05.2019,Новые пользователи,46
000046,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,14
000047,01.05.2019 - 22.05.2019,Все пользователи,92
000047,01.05.2019 - 22.05.2019,Новые пользователи,70
000047,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,13
000048,01.05.2019 - 22.05.2019,Все пользователи,91
000048,01.05.2019 - 22.05.2019,Новые пользователи,77
000048,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,16
000049,01.05.2019 - 22.05.2019,Все пользователи,64
000049,01.05.2019 - 22.05.2019,Новые пользователи,54
000049,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,12
000050,01.05.2019 - 22.05.2019,Все пользователи,88
000050,01.05.2019 - 22.05.2019,Новые пользователи,64
000050,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,19
000051,01.05.2019 - 22.05.2019,Все пользователи,73
000051,01.05.2019 - 22.05.2019,Новые пользователи,58
000051,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,18
000052,01.05.2019 - 22.05.2019,Все пользователи,94
000052,01.05.2019 - 22.05.2019,Новые пользователи,71
000052,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,23
000053,01.05.2019 - 22.05.2019,Все пользователи,99
000053,01.05.2019 - 22.05.2019,Новые пользователи,79
000053,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,27
000054,01.05.2019 - 22.05.2019,Все пользователи,92
000054,01.05.2019 - 22.05.2019,Новые пользователи,63
000054,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000055,01.05.2019 - 22.05.2019,Все пользователи,135
000055,01.05.2019 - 22.05.2019,Новые пользователи,105
000055,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,21
000056,01.05.2019 - 22.05.2019,Все пользователи,151
000056,01.05.2019 - 22.05.2019,Новые пользователи,102
000056,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,29
000057,01.05.2019 - 22.05.2019,Все пользователи,219
000057,01.05.2019 - 22.05.2019,Новые пользователи,158
000057,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,41
000058,01.05.2019 - 22.05.2019,Все пользователи,157
000058,01.05.2019 - 22.05.2019,Новые пользователи,106
000058,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,24
000059,01.05.2019 - 22.05.2019,Все пользователи,207
000059,01.05.2019 - 22.05.2019,Новые пользователи,150
000059,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,39
000060,01.05.2019 - 22.05.2019,Все пользователи,158
000060,01.05.2019 - 22.05.2019,Новые пользователи,96
000060,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000061,01.05.2019 - 22.05.2019,Все пользователи,176
000061,01.05.2019 - 22.05.2019,Новые пользователи,138
000061,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,35
000062,01.05.2019 - 22.05.2019,Все пользователи,138
000062,01.05.2019 - 22.05.2019,Новые пользователи,90
000062,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,20
000063,01.05.2019 - 22.05.2019,Все пользователи,140
000063,01.05.2019 - 22.05.2019,Новые пользователи,92
000063,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
000064,01.05.2019 - 22.05.2019,Все пользователи,116
000064,01.05.2019 - 22.05.2019,Новые пользователи,78
000064,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,22
000065,01.05.2019 - 22.05.2019,Все пользователи,86
000065,01.05.2019 - 22.05.2019,Новые пользователи,53
000065,01.05.2019 - 22.05.2019,Трафик с мобильных устройств,31
